drug,drug_class,target,activity,activity_recoded,ki_lower_nm,ki_upper_nm,modelled_ki_nm,ki_is_range,log10_ki_nm,pKi,source_url,evidence_note,last_verified_at
Citalopram,SSRI,SERT,Inhibitor,Antagonist,,1.6,1.6,False,0.204119982655925,8.79588001734408,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7547,Curated GtoPdb record identifies citalopram/escitalopram pharmacology as SSRI activity at the serotonin transporter. The supporting summary is mechanism-focused and does not provide one receptor-specific functional assay setup on the page.,2026-04-16
Citalopram,SSRI,5-HT2C,,,,617,617,False,2.79028516403324,6.20971483596676,https://www.bindingdb.org/rwd/jsp/dbsearch/Summary_ki.jsp?energyterm=kJ%2Fmole&entryid=5375&icunit=nM&ki_result_id=184154&kiunit=nM&reactant_set_id=184155,"BindingDB PDSP-curated 5-HT2C (pig) entries for Citalopram report Ki values of 2051 nM and 2531 nM (see also ki_result_id=184155), which do not match this row's current modelled Ki of 617 nM. Retained as a flagged discrepancy pending source harmonisation.",2026-04-16
Citalopram,SSRI,NET,,,,6190,6190,False,3.79169064902012,5.20830935097988,https://www.bindingdb.org/rwd/jsp/dbsearch/Summary_ki.jsp?energyterm=kJ%2Fmole&entryid=5375&icunit=nM&ki_result_id=184202&kiunit=nM&reactant_set_id=184203,"BindingDB PDSP-curated entry reports Citalopram Ki = 6190 nM at human sodium-dependent noradrenaline transporter (NET), matching this row's modelled Ki value. Citation shown on the record: Owens JM et al., Encephale 2002 (PMID 12232544).",2026-04-16
Citalopram,SSRI,α1,,,,1211,1211,False,3.08314414314305,5.91685585685695,https://www.bindingdb.org/rwd/jsp/dbsearch/Summary_ki.jsp?energyterm=kJ%2Fmole&entryid=5375&icunit=nM&ki_result_id=184162&kiunit=nM&reactant_set_id=184163,"BindingDB PDSP-curated entry reports Citalopram Ki = 1211 nM at human alpha-1A adrenergic receptor, which is used here as support for the α1 family-level row. Citation shown on the record: Owens JM et al., Encephale 2002 (PMID 12232544).",2026-04-16
Citalopram,SSRI,M1,,,,1430,1430,False,3.15533603746506,5.84466396253494,https://www.bindingdb.org/rwd/jsp/dbsearch/Summary_ki.jsp?energyterm=kJ%2Fmole&entryid=5375&icunit=nM&ki_result_id=184170&kiunit=nM&reactant_set_id=184171,"BindingDB PDSP-curated entry reports Citalopram Ki = 1430 nM at human muscarinic acetylcholine receptor M1, matching this row's modelled Ki value. Citation shown on the record: Owens JM et al., Encephale 2002 (PMID 12232544).",2026-04-16
Citalopram,SSRI,H1,,,,283,283,False,2.45178643552429,6.54821356447571,https://www.bindingdb.org/rwd/jsp/dbsearch/Summary_ki.jsp?energyterm=kJ%2Fmole&entryid=5375&icunit=nM&ki_result_id=184194&kiunit=nM&reactant_set_id=184195,"BindingDB PDSP-curated entry reports Citalopram Ki = 283 nM at guinea pig histamine H1 receptor, matching this row's modelled Ki value. Citation shown on the record: Owens JM et al., Encephale 2002 (PMID 12232544).",2026-04-16
Escitalopram,SSRI,DAT,,,,27400,27400,False,4.43775056282039,4.56224943717961,,,2026-04-16
Escitalopram,SSRI,D2,,,,1000,1000,False,3,6,,,2026-04-16
Escitalopram,SSRI,SERT,Inhibitor,Antagonist,0.8,1.1,0.938083151964686,True,-0.0277586639249156,9.02775866392492,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7177,"Curated GtoPdb record identifies escitalopram as a selective serotonin reuptake inhibitor. The ligand page also notes SERT structural binding, the summary does not provide a single transporter assay system in the visible record.",2026-04-16
Escitalopram,SSRI,5-HT1A,,,1000,,1000,False,3,6,,,2026-04-16
Escitalopram,SSRI,5-HT2A,,,1000,,1000,False,3,6,,,2026-04-16
Escitalopram,SSRI,5-HT2C,,,,2500,2500,False,3.39794000867204,5.60205999132796,,,2026-04-16
Escitalopram,SSRI,NET,,,,7800,7800,False,3.89209460269048,5.10790539730952,,,2026-04-16
Escitalopram,SSRI,α1,,,,3900,3900,False,3.5910646070265,5.4089353929735,,,2026-04-16
Escitalopram,SSRI,α2,,,,1000,1000,False,3,6,,,2026-04-16
Escitalopram,SSRI,mACh,,,,1240,1240,False,3.09342168516224,5.90657831483777,,,2026-04-16
Escitalopram,SSRI,H1,,,,2000,2000,False,3.30102999566398,5.69897000433602,,,2026-04-16
Escitalopram,SSRI,hERG,,,,2600,2600,False,3.41497334797082,5.58502665202918,,,2026-04-16
Fluoxetine,SSRI,DAT,,,,4180,4180,False,3.62117628177504,5.37882371822496,,,2026-04-16
Fluoxetine,SSRI,SERT,Inhibitor,Antagonist,,1,1,False,0,9,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=203,"Curated GtoPdb record identifies fluoxetine as an SSRI, supporting serotonin transporter inhibition. The page summarises curated pharmacology rather than one named transporter uptake assay.",2026-04-16
Fluoxetine,SSRI,5-HT1A,,,,32400,32400,False,4.51054501020661,4.48945498979339,,,2026-04-16
Fluoxetine,SSRI,5-HT2A,,,,147,147,False,2.16731733474818,6.83268266525182,,,2026-04-16
Fluoxetine,SSRI,5-HT2C,,,,112,112,False,2.04921802267018,6.95078197732982,,,2026-04-16
Fluoxetine,SSRI,NET,,,,660,660,False,2.81954393554187,6.18045606445813,,,2026-04-16
Fluoxetine,SSRI,α1,,,,3800,3800,False,3.57978359661681,5.42021640338319,,,2026-04-16
Fluoxetine,SSRI,M1,,,702,1030,850.329347958778,True,2.92958716841749,6.07041283158251,,,2026-04-16
Fluoxetine,SSRI,M2,,,,2700,2700,False,3.43136376415899,5.56863623584101,,,2026-04-16
Fluoxetine,SSRI,M3,,,,1000,1000,False,3,6,,,2026-04-16
Fluoxetine,SSRI,M4,,,,2900,2900,False,3.46239799789896,5.53760200210104,,,2026-04-16
Fluoxetine,SSRI,M5,,,,2700,2700,False,3.43136376415899,5.56863623584101,,,2026-04-16
Fluvoxamine,SSRI,SERT,Inhibitor,Antagonist,,2.5,2.5,False,0.397940008672038,8.60205999132796,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7189,"Curated GtoPdb record identifies fluvoxamine as an SSRI, supporting serotonin transporter inhibition. The ligand page is a curated summary and does not expose one specific human uptake assay in the snippet reviewed.",2026-04-16
Fluvoxamine,SSRI,5-HT2C,,,,5786,5786,False,3.76237842931196,5.23762157068804,,,2026-04-16
Fluvoxamine,SSRI,NET,,,,1427,1427,False,3.15442397311465,5.84557602688535,,,2026-04-16
Fluvoxamine,SSRI,α1,,,,36,36,False,1.55630250076729,7.44369749923271,,,2026-04-16
Fluvoxamine,SSRI,σ1,Agonist,Agonist,,36,36,False,1.55630250076729,7.44369749923271,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7189,"Fluvoxamine is widely recognised for high-affinity sigma-1 receptor agonism, but the GtoPdb page snippet reviewed focused on SSRI classification rather than assay detail. This label reflects curated consensus pharmacology with limited assay detail visible in the retrieved snippet.",2026-04-16
Paroxetine,SSRI,DAT,,,,490,490,False,2.69019608002851,6.30980391997149,,,2026-04-16
Paroxetine,SSRI,D2,,,,7700,7700,False,3.88649072517248,5.11350927482752,,,2026-04-16
Paroxetine,SSRI,SERT,Inhibitor,Antagonist,0.07,0.2,0.118321595661992,True,-0.926935982160881,9.92693598216088,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=4790,"Curated GtoPdb record identifies paroxetine as a selective serotonin-reuptake inhibitor. The page also notes an X-ray structure of paroxetine bound to SERT, supporting direct transporter engagement.",2026-04-16
Paroxetine,SSRI,5-HT1A,,,,21200,21200,False,4.32633586092875,4.67366413907125,,,2026-04-16
Paroxetine,SSRI,5-HT2A,,,,6300,6300,False,3.79934054945358,5.20065945054642,,,2026-04-16
Paroxetine,SSRI,5-HT2C,,,,9000,9000,False,3.95424250943932,5.04575749056068,,,2026-04-16
Paroxetine,SSRI,NET,,,40,85,58.309518948453,True,1.76573945852113,7.23426054147887,,,2026-04-16
Paroxetine,SSRI,α1,,,1000,2700,1643.1676725155,True,3.21568188207949,5.78431811792051,,,2026-04-16
Paroxetine,SSRI,α2,,,,3900,3900,False,3.5910646070265,5.4089353929735,,,2026-04-16
Paroxetine,SSRI,M1,,,,72,72,False,1.85733249643127,7.14266750356873,,,2026-04-16
Paroxetine,SSRI,H1,,,13700,23700,18019.1564730428,True,4.25573445658326,4.74426554341675,,,2026-04-16
Sertraline,SSRI,DAT,Inhibitor,Antagonist,22,315,83.2466215530696,True,1.9203666173059,7.0796333826941,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=4798,"Sertraline shows curated off-target dopamine transporter inhibition in pharmacology databases, but the reviewed GtoPdb snippet was not transporter-assay specific. This row is assigned as Inhibitor with moderate confidence rather than from a single displayed assay.",2026-04-16
Sertraline,SSRI,D2,,,,10700,10700,False,4.02938377768521,4.97061622231479,,,2026-04-16
Sertraline,SSRI,SERT,Inhibitor,Antagonist,0.15,3.3,0.703562363973514,True,-0.152697400533216,9.15269740053322,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=4798,Curated GtoPdb record supports sertraline as an SSRI acting by serotonin transporter inhibition. The reviewed page is a curated ligand summary rather than one named uptake assay.,2026-04-16
Sertraline,SSRI,5-HT1A,,,35000,,35000,False,4.54406804435028,4.45593195564972,,,2026-04-16
Sertraline,SSRI,5-HT2A,,,,2207,2207,False,3.34380233316166,5.65619766683835,,,2026-04-16
Sertraline,SSRI,5-HT2C,,,,2298,2298,False,3.36135002435227,5.63864997564773,,,2026-04-16
Sertraline,SSRI,NET,,,420,925,623.297681689897,True,2.79469551156847,6.20530448843153,,,2026-04-16
Sertraline,SSRI,α1A,,,,1900,1900,False,3.27875360095283,5.72124639904717,,,2026-04-16
Sertraline,SSRI,α1B,,,,3500,3500,False,3.54406804435028,5.45593195564972,,,2026-04-16
Sertraline,SSRI,α1D,,,,2500,2500,False,3.39794000867204,5.60205999132796,,,2026-04-16
Sertraline,SSRI,α2,,,477,4100,1398.4634424968,True,3.14565111787993,5.85434888212008,,,2026-04-16
Sertraline,SSRI,mACh,,,427,2100,946.942448092808,True,2.97632358487947,6.02367641512053,,,2026-04-16
Sertraline,SSRI,H1,,,,24000,24000,False,4.38021124171161,4.61978875828839,,,2026-04-16
Sertraline,SSRI,σ1,,,32,57,42.7083130081252,True,1.6305124169962,7.3694875830038,,,2026-04-16
Sertraline,SSRI,σ2,,,,5297,5297,False,3.7240299729356,5.2759700270644,,,2026-04-16
Amitriptyline,Tricyclic,DAT,,,,3250,3250,False,3.51188336097887,5.48811663902113,,,2026-04-16
Amitriptyline,Tricyclic,D1,,,,89,89,False,1.94939000664491,7.05060999335509,,,2026-04-16
Amitriptyline,Tricyclic,D2,,,196,1460,534.939248887199,True,2.72830446357046,6.27169553642954,,,2026-04-16
Amitriptyline,Tricyclic,D3,,,,206,206,False,2.31386722036915,6.68613277963085,,,2026-04-16
Amitriptyline,Tricyclic,SERT,Inhibitor,Antagonist,2.8,36,10.0399203184089,True,1.00173026605475,7.99826973394525,https://www.ncbi.nlm.nih.gov/sites/books/NBK537225/,"StatPearls describes amitriptyline as blocking reuptake of both norepinephrine and serotonin, supporting transporter inhibition. The reviewed source is a mechanism summary rather than a single named human uptake assay.",2026-04-16
Amitriptyline,Tricyclic,5-HT1A,,,450,1800,900,True,2.95424250943932,6.04575749056068,,,2026-04-16
Amitriptyline,Tricyclic,5-HT2A,,,18,23,20.3469899493758,True,1.30850017056045,7.69149982943955,,,2026-04-16
Amitriptyline,Tricyclic,5-HT2B,,,,174,174,False,2.2405492482826,6.7594507517174,,,2026-04-16
Amitriptyline,Tricyclic,5-HT2C,,,4,8,5.65685424949238,True,0.752574989159953,8.24742501084005,,,2026-04-16
Amitriptyline,Tricyclic,5-HT3,,,,430,430,False,2.63346845557959,6.36653154442041,,,2026-04-16
Amitriptyline,Tricyclic,5-HT6,,,65,141,95.734006497169,True,1.98106623464912,7.01893376535088,,,2026-04-16
Amitriptyline,Tricyclic,5-HT7,,,92.8,123,106.838195417182,True,2.02872654382913,6.97127345617087,,,2026-04-16
Amitriptyline,Tricyclic,NET,Inhibitor,Antagonist,19,102,44.0227214061103,True,1.64367688635737,7.35632311364263,https://www.ncbi.nlm.nih.gov/sites/books/NBK537225/,"StatPearls describes amitriptyline as blocking reuptake of both norepinephrine and serotonin, supporting transporter inhibition. The reviewed source is a mechanism summary rather than a single named human uptake assay.",2026-04-16
Amitriptyline,Tricyclic,α1A,Antagonist,Antagonist,6.5,25,12.747548783982,True,1.10542668265745,7.89457331734255,https://www.ncbi.nlm.nih.gov/sites/books/NBK537225/,"StatPearls notes strong alpha-adrenergic receptor binding for amitriptyline, consistent with antiadrenergic antagonist activity seen with tertiary-amine TCAs. Subtype-specific assay details were not provided in the reviewed source.",2026-04-16
Amitriptyline,Tricyclic,α1B,Antagonist,Antagonist,600,1700,1009.95049383621,True,3.00430008588096,5.99569991411904,https://www.ncbi.nlm.nih.gov/sites/books/NBK537225/,"StatPearls notes strong alpha-adrenergic receptor binding for amitriptyline, consistent with antiadrenergic antagonist activity seen with tertiary-amine TCAs. Subtype-specific assay details were not provided in the reviewed source.",2026-04-16
Amitriptyline,Tricyclic,α1D,Antagonist,Antagonist,,560,560,False,2.7481880270062,6.2518119729938,https://www.ncbi.nlm.nih.gov/sites/books/NBK537225/,"StatPearls notes strong alpha-adrenergic receptor binding for amitriptyline, consistent with antiadrenergic antagonist activity seen with tertiary-amine TCAs. Subtype-specific assay details were not provided in the reviewed source.",2026-04-16
Amitriptyline,Tricyclic,α2,,,114,690,280.463901420486,True,2.44787697103686,6.55212302896314,,,2026-04-16
Amitriptyline,Tricyclic,α2A,,,,88,88,False,1.94448267215017,7.05551732784983,,,2026-04-16
Amitriptyline,Tricyclic,α2B,,,1000,,1000,False,3,6,,,2026-04-16
Amitriptyline,Tricyclic,α2C,,,,120,120,False,2.07918124604762,6.92081875395238,,,2026-04-16
Amitriptyline,Tricyclic,β,,,10000,,10000,False,4,5,,,2026-04-16
Amitriptyline,Tricyclic,M1,Antagonist,Antagonist,11,14.7,12.7161314872095,True,1.1043550099532,7.8956449900468,https://www.ncbi.nlm.nih.gov/sites/books/NBK537225/,"StatPearls states amitriptyline has strong binding affinity for muscarinic M1 receptors, supporting antimuscarinic antagonist activity. The source is a mechanism overview and does not give a single subtype-specific functional assay.",2026-04-16
Amitriptyline,Tricyclic,M2,,,,11.8,11.8,False,1.07188200730613,7.92811799269388,,,2026-04-16
Amitriptyline,Tricyclic,M3,,,12.8,39,22.3427840700303,True,1.34913728833718,7.65086271166282,,,2026-04-16
Amitriptyline,Tricyclic,M4,,,,7.2,7.2,False,0.857332496431269,8.14266750356873,,,2026-04-16
Amitriptyline,Tricyclic,M5,,,15.7,24,19.4113368936815,True,1.28805544706042,7.71194455293958,,,2026-04-16
Amitriptyline,Tricyclic,H1,Antagonist,Antagonist,0.5,1.1,0.741619848709566,True,-0.129818655252878,9.12981865525288,https://www.ncbi.nlm.nih.gov/sites/books/NBK537225/,"StatPearls states amitriptyline has strong binding affinity for histamine H1 receptors, consistent with antagonist pharmacology for this aminergic receptor class. The retrieved source summarises mechanism and adverse-effect pharmacology rather than one functional receptor assay.",2026-04-16
Amitriptyline,Tricyclic,H2,,,,66,66,False,1.81954393554187,7.18045606445813,,,2026-04-16
Amitriptyline,Tricyclic,H3,,,,75900,75900,False,4.88024177589548,4.11975822410452,,,2026-04-16
Amitriptyline,Tricyclic,H4,,,34,26300,945.621488757526,True,2.97571733276601,6.02428266723399,,,2026-04-16
Amitriptyline,Tricyclic,σ1,,,287,300,293.428015022424,True,2.46750157572683,6.53249842427317,,,2026-04-16
Amitriptyline,Tricyclic,hERG,,,,3260,3260,False,3.51321760006794,5.48678239993206,,,2026-04-16
Amitriptyline,Tricyclic,TrkA,,,,3000,3000,False,3.47712125471966,5.52287874528034,,,2026-04-16
Amitriptyline,Tricyclic,TrkB,,,,14000,14000,False,4.14612803567824,4.85387196432176,,,2026-04-16
Amoxapine,Tricyclic,DAT,,,,4310,4310,False,3.63447727016073,5.36552272983927,,,2026-04-16
Amoxapine,Tricyclic,D2,Antagonist,Antagonist,3.6,160,24,True,1.38021124171161,7.61978875828839,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=201,"Amoxapine pharmacology includes dopamine D2 receptor antagonism, consistent with the antipsychotic activity of its metabolite profile. The retrieved GtoPdb snippet was sparse, so this assignment reflects established curated pharmacology with limited assay detail visible.",2026-04-16
Amoxapine,Tricyclic,D3,,,,11,11,False,1.04139268515823,7.95860731484178,,,2026-04-16
Amoxapine,Tricyclic,D4,,,2,40,8.94427190999916,True,0.951544993495972,8.04845500650403,,,2026-04-16
Amoxapine,Tricyclic,SERT,Inhibitor,Antagonist,,58,58,False,1.76342799356294,7.23657200643706,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=201,Amoxapine is a tricyclic antidepressant with serotonin/norepinephrine reuptake inhibition reported in curated pharmacology sources. The reviewed snippet did not provide a single transporter assay system.,2026-04-16
Amoxapine,Tricyclic,5-HT2A,,,,0.5,0.5,False,-0.301029995663981,9.30102999566398,,,2026-04-16
Amoxapine,Tricyclic,5-HT2C,,,,2,2,False,0.301029995663981,8.69897000433602,,,2026-04-16
Amoxapine,Tricyclic,5-HT6,,,6,50,17.3205080756888,True,1.23856062735983,7.76143937264017,,,2026-04-16
Amoxapine,Tricyclic,5-HT7,,,,41,41,False,1.61278385671974,7.38721614328026,,,2026-04-16
Amoxapine,Tricyclic,NET,Inhibitor,Antagonist,,16,16,False,1.20411998265592,7.79588001734408,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=201,Amoxapine is a tricyclic antidepressant with serotonin/norepinephrine reuptake inhibition reported in curated pharmacology sources. The reviewed snippet did not provide a single transporter assay system.,2026-04-16
Amoxapine,Tricyclic,α1,,,,50,50,False,1.69897000433602,7.30102999566398,,,2026-04-16
Amoxapine,Tricyclic,α2,,,,2600,2600,False,3.41497334797082,5.58502665202918,,,2026-04-16
Amoxapine,Tricyclic,mACh,,,,1000,1000,False,3,6,,,2026-04-16
Amoxapine,Tricyclic,H1,,,7.9,25,14.0534693225552,True,1.14778354998124,7.85221645001876,,,2026-04-16
Amoxapine,Tricyclic,H3,,,100000,,100000,False,5,4,,,2026-04-16
Amoxapine,Tricyclic,H4,,,,6310,6310,False,3.80002935924413,5.19997064075587,,,2026-04-16
Clomipramine,Tricyclic,DAT,,,2190,,2190,False,3.34044411484012,5.65955588515988,,,2026-04-16
Clomipramine,Tricyclic,D1,,,,219,219,False,2.34044411484012,6.65955588515988,,,2026-04-16
Clomipramine,Tricyclic,D2,,,77.6,190,121.424873893284,True,2.08430766110551,6.91569233889449,,,2026-04-16
Clomipramine,Tricyclic,D3,,,30,50.1,38.7685439499603,True,1.58847949029345,7.41152050970655,,,2026-04-16
