drug,drug_class,target,activity,activity_recoded,ki_lower_nm,ki_upper_nm,modelled_ki_nm,ki_is_range,log10_ki_nm,pKi
Citalopram,SSRI,SERT,Inhibitor,Antagonist,,1.6,1.6,False,0.204119982655925,8.79588001734408
Citalopram,SSRI,5-HT2C,Antagonist,Antagonist,,617,617,False,2.79028516403324,6.20971483596676
Citalopram,SSRI,NET,Inhibitor,Antagonist,,6190,6190,False,3.79169064902012,5.20830935097988
Citalopram,SSRI,α1,Antagonist,Antagonist,,1211,1211,False,3.08314414314305,5.91685585685695
Citalopram,SSRI,M1,Antagonist,Antagonist,,1430,1430,False,3.15533603746506,5.84466396253494
Citalopram,SSRI,H1,Antagonist,Antagonist,,283,283,False,2.45178643552429,6.54821356447571
Escitalopram,SSRI,DAT,Inhibitor,Antagonist,,27400,27400,False,4.43775056282039,4.56224943717961
Escitalopram,SSRI,D2,Antagonist,Antagonist,,1000,1000,False,3,6
Escitalopram,SSRI,SERT,Inhibitor,Antagonist,0.8,1.1,0.938083151964686,True,-0.0277586639249156,9.02775866392492
Escitalopram,SSRI,5-HT1A,Antagonist,Antagonist,1000,,1000,False,3,6
Escitalopram,SSRI,5-HT2A,Antagonist,Antagonist,1000,,1000,False,3,6
Escitalopram,SSRI,5-HT2C,Antagonist,Antagonist,,2500,2500,False,3.39794000867204,5.60205999132796
Escitalopram,SSRI,NET,Inhibitor,Antagonist,,7800,7800,False,3.89209460269048,5.10790539730952
Escitalopram,SSRI,α1,Antagonist,Antagonist,,3900,3900,False,3.5910646070265,5.4089353929735
Escitalopram,SSRI,α2,Antagonist,Antagonist,,1000,1000,False,3,6
Escitalopram,SSRI,mACh,Antagonist,Antagonist,,1240,1240,False,3.09342168516224,5.90657831483777
Escitalopram,SSRI,H1,Antagonist,Antagonist,,2000,2000,False,3.30102999566398,5.69897000433602
Escitalopram,SSRI,hERG,Blocker,Antagonist,,2600,2600,False,3.41497334797082,5.58502665202918
Fluoxetine,SSRI,DAT,Inhibitor,Antagonist,,4180,4180,False,3.62117628177504,5.37882371822496
Fluoxetine,SSRI,SERT,Inhibitor,Antagonist,,1,1,False,0,9
Fluoxetine,SSRI,5-HT1A,Antagonist,Antagonist,,32400,32400,False,4.51054501020661,4.48945498979339
Fluoxetine,SSRI,5-HT2A,Antagonist,Antagonist,,147,147,False,2.16731733474818,6.83268266525182
Fluoxetine,SSRI,5-HT2C,Antagonist,Antagonist,,112,112,False,2.04921802267018,6.95078197732982
Fluoxetine,SSRI,NET,Inhibitor,Antagonist,,660,660,False,2.81954393554187,6.18045606445813
Fluoxetine,SSRI,α1,Antagonist,Antagonist,,3800,3800,False,3.57978359661681,5.42021640338319
Fluoxetine,SSRI,M1,Antagonist,Antagonist,702,1030,850.329347958778,True,2.92958716841749,6.07041283158251
Fluoxetine,SSRI,M2,Antagonist,Antagonist,,2700,2700,False,3.43136376415899,5.56863623584101
Fluoxetine,SSRI,M3,Antagonist,Antagonist,,1000,1000,False,3,6
Fluoxetine,SSRI,M4,Antagonist,Antagonist,,2900,2900,False,3.46239799789896,5.53760200210104
Fluoxetine,SSRI,M5,Antagonist,Antagonist,,2700,2700,False,3.43136376415899,5.56863623584101
Fluvoxamine,SSRI,SERT,Inhibitor,Antagonist,,2.5,2.5,False,0.397940008672038,8.60205999132796
Fluvoxamine,SSRI,5-HT2C,Antagonist,Antagonist,,5786,5786,False,3.76237842931196,5.23762157068804
Fluvoxamine,SSRI,NET,Inhibitor,Antagonist,,1427,1427,False,3.15442397311465,5.84557602688535
Fluvoxamine,SSRI,α1,Antagonist,Antagonist,,36,36,False,1.55630250076729,7.44369749923271
Fluvoxamine,SSRI,σ1,Ligand,Ligand,,36,36,False,1.55630250076729,7.44369749923271
Paroxetine,SSRI,DAT,Inhibitor,Antagonist,,490,490,False,2.69019608002851,6.30980391997149
Paroxetine,SSRI,D2,Antagonist,Antagonist,,7700,7700,False,3.88649072517248,5.11350927482752
Paroxetine,SSRI,SERT,Inhibitor,Antagonist,0.07,0.2,0.118321595661992,True,-0.926935982160881,9.92693598216088
Paroxetine,SSRI,5-HT1A,Antagonist,Antagonist,,21200,21200,False,4.32633586092875,4.67366413907125
Paroxetine,SSRI,5-HT2A,Antagonist,Antagonist,,6300,6300,False,3.79934054945358,5.20065945054642
Paroxetine,SSRI,5-HT2C,Antagonist,Antagonist,,9000,9000,False,3.95424250943932,5.04575749056068
Paroxetine,SSRI,NET,Inhibitor,Antagonist,40,85,58.309518948453,True,1.76573945852113,7.23426054147887
Paroxetine,SSRI,α1,Antagonist,Antagonist,1000,2700,1643.1676725155,True,3.21568188207949,5.78431811792051
Paroxetine,SSRI,α2,Antagonist,Antagonist,,3900,3900,False,3.5910646070265,5.4089353929735
Paroxetine,SSRI,M1,Antagonist,Antagonist,,72,72,False,1.85733249643127,7.14266750356873
Paroxetine,SSRI,H1,Antagonist,Antagonist,13700,23700,18019.1564730428,True,4.25573445658326,4.74426554341675
Sertraline,SSRI,DAT,Inhibitor,Antagonist,22,315,83.2466215530696,True,1.9203666173059,7.0796333826941
Sertraline,SSRI,D2,Antagonist,Antagonist,,10700,10700,False,4.02938377768521,4.97061622231479
Sertraline,SSRI,SERT,Inhibitor,Antagonist,0.15,3.3,0.703562363973514,True,-0.152697400533216,9.15269740053322
Sertraline,SSRI,5-HT1A,Antagonist,Antagonist,35000,,35000,False,4.54406804435028,4.45593195564972
Sertraline,SSRI,5-HT2A,Antagonist,Antagonist,,2207,2207,False,3.34380233316166,5.65619766683835
Sertraline,SSRI,5-HT2C,Antagonist,Antagonist,,2298,2298,False,3.36135002435227,5.63864997564773
Sertraline,SSRI,NET,Inhibitor,Antagonist,420,925,623.297681689897,True,2.79469551156847,6.20530448843153
Sertraline,SSRI,α1A,Antagonist,Antagonist,,1900,1900,False,3.27875360095283,5.72124639904717
Sertraline,SSRI,α1B,Antagonist,Antagonist,,3500,3500,False,3.54406804435028,5.45593195564972
Sertraline,SSRI,α1D,Antagonist,Antagonist,,2500,2500,False,3.39794000867204,5.60205999132796
Sertraline,SSRI,α2,Antagonist,Antagonist,477,4100,1398.4634424968,True,3.14565111787993,5.85434888212008
Sertraline,SSRI,mACh,Antagonist,Antagonist,427,2100,946.942448092808,True,2.97632358487947,6.02367641512053
Sertraline,SSRI,H1,Antagonist,Antagonist,,24000,24000,False,4.38021124171161,4.61978875828839
Sertraline,SSRI,σ1,Ligand,Ligand,32,57,42.7083130081252,True,1.6305124169962,7.3694875830038
Sertraline,SSRI,σ2,Ligand,Ligand,,5297,5297,False,3.7240299729356,5.2759700270644
Amitriptyline,Tricyclic,DAT,Inhibitor,Antagonist,,3250,3250,False,3.51188336097887,5.48811663902113
Amitriptyline,Tricyclic,D1,Antagonist,Antagonist,,89,89,False,1.94939000664491,7.05060999335509
