gtp_ligand_id,target_uniprot,gtp_ligand_name,gtp_target_name,pdsp_ligand_names,pdsp_unigene_symbols,ligand_match_method,ki_count,ki_median,ki_min,ki_max,pKi_median,pKi_min,pKi_max
1,P08908,flesinoxan,5-HT<sub>1A</sub> receptor,FLESINOXAN,HTR1A,NAME,3,3.0,0.6,7.76,8.522878745280337,8.110138278741811,9.221848749616356
10,P08908,BRL-15572,5-HT<sub>1A</sub> receptor,BRL 15572,HTR1A,NAME,1,19.95,19.95,19.95,7.700057099977233,7.700057099977233,7.700057099977233
10,P28221,BRL-15572,5-HT<sub>1D</sub> receptor,BRL 15572,HTR1D,NAME,2,10.26,7.94,12.58,8.000249428231827,7.90031935889075,8.100179497572904
10,P28222,BRL-15572,5-HT<sub>1B</sub> receptor,BRL 15572,HTR1B,NAME,2,1026.6200000000001,794.32,1258.92,6.000003184617929,5.900001866923468,6.10000450231239
10,P28223,BRL-15572,5-HT<sub>2A</sub> receptor,BRL 15572,HTR2A,NAME,1,251.18,251.18,251.18,6.60001494389755,6.60001494389755,6.60001494389755
10,P28335,BRL-15572,5-HT<sub>2C</sub> receptor,BRL 15572,HTR2C,NAME,1,630.95,630.95,630.95,6.200005055311286,6.200005055311286,6.200005055311286
10,P28566,BRL-15572,5-ht<sub>1e</sub> receptor,BRL 15572,HTR1E,NAME,1,6309.57,6309.57,6309.57,5.200000237109354,5.200000237109354,5.200000237109354
10,P30939,BRL-15572,5-HT<sub>1F</sub> receptor,BRL 15572,HTR1F,NAME,1,1000.0,1000.0,1000.0,6.0,6.0,6.0
10,P34969,BRL-15572,5-HT<sub>7</sub> receptor,BRL 15572,HTR7,NAME,1,501.18,501.18,501.18,6.300006268210499,6.300006268210499,6.300006268210499
10,P41595,BRL-15572,5-HT<sub>2B</sub> receptor,BRL 15572,HTR2B,NAME,1,39.81,39.81,39.81,7.400007822415902,7.400007822415902,7.400007822415902
10,P50406,BRL-15572,5-HT<sub>6</sub> receptor,BRL 15572,HTR6,NAME,1,1258.92,1258.92,1258.92,5.900001866923468,5.900001866923468,5.900001866923468
100,P07550,thioridazine,&beta;<sub>2</sub>-adrenoceptor,THIORIDAZINE,ADRB2,CAS,2,10000.0,10000.0,10000.0,5.0,5.0,5.0
100,P08172,thioridazine,M<sub>2</sub> receptor,THIORIDAZINE,CHRM2,CAS,4,20.151339959477,14.0,831.0,7.716935982160879,6.080398976215889,7.853871964321762
100,P08173,thioridazine,M<sub>4</sub> receptor,THIORIDAZINE,CHRM4,CAS,3,9.0,9.0,913.0,8.045757490560675,6.039529222465701,8.045757490560675
100,P08588,thioridazine,&beta;<sub>1</sub>-adrenoceptor,THIORIDAZINE,ADRB1,CAS,1,10000.0,10000.0,10000.0,5.0,5.0,5.0
100,P08908,thioridazine,5-HT<sub>1A</sub> receptor,THIORIDAZINE,HTR1A,CAS,3,180.7,108.0,204.17379446695,6.743041847439068,6.690000000000007,6.96657624451305
100,P08912,thioridazine,M<sub>5</sub> receptor,THIORIDAZINE,CHRM5,CAS,3,13.0,12.0,13.0,7.886056647693163,7.886056647693163,7.920818753952375
100,P08913,thioridazine,&alpha;<sub>2A</sub>-adrenoceptor,THIORIDAZINE,ADRA2A,CAS,3,134.3,134.0,453.0,6.871923987331284,6.343901797987169,6.872895201635192
100,P11229,thioridazine,M<sub>1</sub> receptor,THIORIDAZINE,CHRM1,CAS,4,4.5782711451733,2.7,33.0,8.379318117920505,7.481486060122112,8.568636235841012
100,P14416,thioridazine,D<sub>2</sub> receptor,THIORIDAZINE,DRD2,CAS,37,10.0,0.4,67.0,8.0,7.173925197299173,9.397940008672037
100,P18089,thioridazine,&alpha;<sub>2B</sub>-adrenoceptor,THIORIDAZINE,ADRA2B,CAS,3,341.3,259.0,342.0,6.466863711721361,6.465973893943865,6.586700235918748
100,P18825,thioridazine,&alpha;<sub>2C</sub>-adrenoceptor,THIORIDAZINE,ADRA2C,CAS,3,75.0,74.8,549.0,7.1249387366083,6.260427655549908,7.126098402135539
100,P20309,thioridazine,M<sub>3</sub> receptor,THIORIDAZINE,CHRM3,CAS,5,24.54708915685,15.0,43.0,7.610000000000006,7.366531544420413,7.823908740944319
100,P21554,thioridazine,CB<sub>1</sub> receptor,THIORIDAZINE,CNR1,CAS,1,10000.0,10000.0,10000.0,5.0,5.0,5.0
100,P21728,thioridazine,D<sub>1</sub> receptor,THIORIDAZINE,DRD1,CAS,9,100.0,21.0,1810.0,7.0,5.7423214251308154,7.6777807052660805
100,P21917,thioridazine,D<sub>4</sub> receptor,THIORIDAZINE,DRD4,CAS,10,10.25,1.5,26.0,7.989405350465031,7.585026652029182,8.823908740944319
100,P21918,thioridazine,D<sub>5</sub> receptor,THIORIDAZINE,DRD5,CAS,2,258.0,216.0,300.0,6.594212497064703,6.522878745280337,6.665546248849069
100,P25021,thioridazine,H<sub>2</sub> receptor,THIORIDAZINE,HRH2,CAS,1,136.0,136.0,136.0,6.866461091629782,6.866461091629782,6.866461091629782
100,P28221,thioridazine,5-HT<sub>1D</sub> receptor,THIORIDAZINE,HTR1D,CAS,1,579.0,579.0,579.0,6.237321436272564,6.237321436272564,6.237321436272564
100,P28222,thioridazine,5-HT<sub>1B</sub> receptor,THIORIDAZINE,HTR1B,CAS,1,109.0,109.0,109.0,6.962573502059376,6.962573502059376,6.962573502059376
100,P28223,thioridazine,5-HT<sub>2A</sub> receptor,THIORIDAZINE,HTR2A,CAS,15,11.0,0.71,60.0,7.958607314841775,7.221848749616356,9.148741651280925
100,P28335,thioridazine,5-HT<sub>2C</sub> receptor,THIORIDAZINE,HTR2C,CAS,6,64.5,46.0,86.0,7.19149982943955,7.0655015487564325,7.337242168318426
100,P28566,thioridazine,5-ht<sub>1e</sub> receptor,THIORIDAZINE,HTR1E,CAS,1,194.0,194.0,194.0,6.7121982700697735,6.7121982700697735,6.7121982700697735
100,P31645,thioridazine,SERT,THIORIDAZINE,SLC6A4,CAS,1,1259.0,1259.0,1259.0,5.899974269892137,5.899974269892137,5.899974269892137
100,P34969,thioridazine,5-HT<sub>7</sub> receptor,THIORIDAZINE,HTR7,CAS,5,99.0,63.095734448019,100.0,7.00436480540245,7.0,7.200000000000002
100,P35348,thioridazine,&alpha;<sub>1A</sub>-adrenoceptor,THIORIDAZINE,ADRA1A,CAS,5,12.5892541179417,1.3,398.107170553497,7.899999999999999,6.4,8.886056647693163
100,P35367,thioridazine,H<sub>1</sub> receptor,THIORIDAZINE,HRH1,CAS,9,20.0,14.0,120.0,7.698970004336019,6.920818753952375,7.853871964321762
100,P35368,thioridazine,&alpha;<sub>1B</sub>-adrenoceptor,THIORIDAZINE,ADRA1B,CAS,2,9.12446596230555,2.4,15.8489319246111,8.209894379144197,7.800000000000001,8.619788758288394
100,P35408,thioridazine,EP<sub>4</sub> receptor,THIORIDAZINE,PTGER4,CAS,1,10000.0,10000.0,10000.0,5.0,5.0,5.0
