gtp_ligand_id,target_uniprot,standard_type,chembl_activity_count,chembl_standard_value_median,chembl_standard_units_set,chembl_confidence_median,chembl_pchembl_median,chembl_doc_id_set
1,P08908,EC50,1,6.607,nM,8.0,8.18,2759
1,P08908,Efficacy,2,50.0,%,8.0,,2759
100,O35505,IC50,2,1300.0,nM,9.0,5.89,91842|91874
100,O60840,IC50,1,3500.0,nM,4.0,5.46,91875
100,Q01668,IC50,1,3500.0,nM,4.0,5.46,91875
100,Q12809,IC50,3,35.48,nM,9.0,7.45,16592|20904|91842
100,Q13698,IC50,1,3500.0,nM,4.0,5.46,91875
100,Q13936,IC50,2,2410.0,nM,6.5,5.67,91874|91875
100,Q14524,IC50,1,1830.0,nM,9.0,5.74,91842
100,Q9R0C9,IC50,1,750.0,nM,8.0,6.12,11576
10007,Q9UNQ0,IC50,1,5.0,nM,8.0,8.3,64378
10009,P23385,EC50,1,356.0,nM,9.0,6.45,93756
10009,Q13255,EC50,2,390.0,nM,9.0,6.41,93756|98883
10009,Q14833,EC50,1,10000.0,nM,9.0,,98883
10019,O60840,IC50,1,1900.0,nM,4.0,5.72,91875
10019,Q01668,IC50,1,1900.0,nM,4.0,5.72,91875
10019,Q12809,IC50,2,197.765,nM,8.5,6.705,16592|20904
10019,Q13698,IC50,1,1900.0,nM,4.0,5.72,91875
10019,Q13936,IC50,1,1900.0,nM,4.0,5.72,91875
10027,P13922,IC50,6,4750.0,nM,8.0,5.43,17662
10027,Q5QD14,EC50,1,10000.0,nM,9.0,,103623
10031,Q9EPB7,EC50,2,240.5,nM,9.0,6.97,118544|128865
10031,Q9EPB7,Emax,1,535.0,%,9.0,,118544
10031,Q9GZN0,EC50,5,46.77,nM,9.0,7.33,118544|123624|128865
10031,Q9GZN0,Emax,2,101.5,%,9.0,,118544|123624
10039,P29990,IC50,1,40550.0,nM,8.0,,51887
10040,P35372,EC50,1,0.0049,nM,9.0,,113494
10043,Q9NQS5,IC50,1,10000.0,nM,9.0,,117535
10045,P51449,EC50,1,21.0,nM,9.0,7.68,131267
10058,P20272,EC50,1,10000.0,nM,9.0,,106983
10058,P21554,EC50,1,10000.0,nM,9.0,,106983
10058,P34972,EC50,1,6.2,nM,9.0,8.21,106983
10058,P34972,Emax,1,106.0,%,9.0,,106983
10058,Q9QZN9,EC50,1,7.6,nM,9.0,8.12,106983
10058,Q9QZN9,Emax,1,100.0,%,9.0,,106983
10061,P35414,EC50,1,0.23,nM,9.0,9.64,121194
10078,P51449,IC50,1,4.0,nM,9.0,8.4,131267
1009,P24530,IC50,4,2.67,nM,9.0,8.719999999999999,115269|130984
1009,P25101,IC50,3,3600.0,nM,9.0,5.405,115269|130984
1009,P26684,IC50,1,700.0,nM,9.0,,130984
10100,O02662,EC50,1,11.0,nM,9.0,7.96,98313
10100,P13945,EC50,2,1.35,nM,9.0,8.88,98313
10100,P26255,EC50,2,104.0,nM,9.0,6.99,98313
10100,Q28524,EC50,2,3.835,nM,9.0,8.695,98313
10102,Q12809,IC50,2,352.405,nM,9.0,6.455,16592|20904
10106,P51681,IC50,1,3.0,nM,9.0,8.52,109114
10114,P30935,IC50,2,0.46,nM,9.0,9.34,66774|83997
10114,P32745,EC50,1,0.95,nM,9.0,9.02,98598
10114,P32745,IC50,3,0.95,nM,9.0,9.02,66774|83997|92524
10129,P08172,IC50,1,46.88,nM,9.0,7.33,128647
10135,P31423,EC50,2,195.99,nM,9.0,6.71,117166
10135,P31423,Emax,1,123.0,%,9.0,,117166
10135,Q14833,EC50,1,65.0,nM,9.0,7.19,117166
1014,P32249,IC50,1,2494.12,nM,9.0,5.6,128647
1014,Q99527,EC50,3,2.0,nM,9.0,8.7,108557|52305|74824
10143,P35398,IC50,1,900.0,nM,9.0,6.05,131267
10143,P51449,IC50,1,110.0,nM,9.0,6.96,131267
10143,Q92753,IC50,1,1100.0,nM,9.0,5.96,131267
10144,P51449,IC50,2,270.0,nM,9.0,6.5,131267|51887
1015,P03372,IC50,4,2.235,nM,5.0,8.865,20127|3914
1015,Q92731,IC50,3,4.0,nM,5.0,8.4,20127
10159,Q13936,IC50,2,9350.0,nM,8.0,5.085,91874
10160,P08183,IC50,1,18000.0,nM,8.0,4.75,64688
10160,P22002,IC50,1,1.04,nM,5.0,8.98,9932
10160,P27732,IC50,1,1.04,nM,5.0,8.98,9932
10160,Q02485,IC50,1,1.04,nM,5.0,8.98,9932
10165,P25025,IC50,1,22.0,nM,9.0,7.66,128289
10166,Q8TDV5,EC50,4,45.45,nM,9.0,7.734999999999999,107673|116207|130624|83172
10166,Q8TDV5,Efficacy,1,100.0,%,9.0,,83172
10166,Q8TDV5,Emax,1,113.0,%,9.0,,116207
10169,Q9Y5Y4,Emax,1,-15.0,%,9.0,,60085
10171,Q9NQS5,EC50,13,2918.0,nM,9.0,5.54,124507|128223|129525
10171,Q9NQS5,IC50,5,54.0,nM,9.0,7.27,117535|124507|97167
10172,O35505,IC50,1,5600.0,nM,9.0,5.25,94011
10172,P08183,EC50,1,14400.0,nM,8.0,4.84,64475
10172,P22002,IC50,1,5200.0,nM,9.0,5.28,91874
10180,P21731,IC50,1,25000.0,nM,9.0,,73836
10180,P34995,IC50,1,25000.0,nM,9.0,,73836
10180,P43115,IC50,1,25000.0,nM,9.0,,73836
10180,Q9Y5Y4,IC50,2,55.0,nM,9.0,7.31,73836
10190,P29274,IC50,6,83.25,nM,9.0,7.08,118342|122050|128190
10193,P29274,IC50,1,25.0,nM,9.0,7.6,118342
10196,P35400,IC50,3,347.0,nM,9.0,6.46,113939|122779
102,P08908,IC50,1,9929.0,nM,9.0,5.0,128840
102,P08913,IC50,2,12.15,nM,9.0,7.925,128840
102,P18089,IC50,1,86.6,nM,9.0,7.06,128840
102,P18825,IC50,1,7.7,nM,9.0,8.11,128840
102,P19328,IC50,1,165.0,nM,4.0,6.78,8229
102,P22086,IC50,1,165.0,nM,4.0,6.78,8229
102,P22909,IC50,1,165.0,nM,4.0,6.78,8229
102,P23975,IC50,1,20000.0,nM,8.0,,13605
102,P35348,IC50,1,1403.0,nM,9.0,5.85,128840
10206,P46093,IC50,2,68.5,nM,9.0,7.165,107566
10206,Q15743,IC50,1,20000.0,nM,9.0,,107566
10206,Q4KLH9,IC50,1,1840.0,nM,9.0,5.74,107566
10206,Q8BUD0,IC50,1,530.0,nM,9.0,6.28,107566
10206,Q8IYL9,IC50,1,20000.0,nM,9.0,,107566
10207,P46093,IC50,1,67.0,nM,9.0,7.17,99416
10207,Q8IYL9,IC50,1,10000.0,nM,9.0,,99416
1022,P21462,EC50,4,6.8435,nM,8.5,8.215,128647|129212|13810|47771
1022,P25089,EC50,1,1900.0,nM,8.0,5.72,47771
1022,P25090,EC50,2,13550.0,nM,8.5,4.93,129212|47771
1022,P33766,EC50,1,23000.0,nM,9.0,4.64,129212
10222,Q924U1,EC50,1,36.0,nM,9.0,7.44,101273
10222,Q969F8,EC50,1,5.2,nM,9.0,8.28,101273
10229,O61059,IC50,1,12000.0,nM,9.0,,91873
10229,O77239,IC50,1,1000.0,nM,9.0,,84179
10229,O96214,IC50,1,1000.0,nM,9.0,,84179
10229,O97467,IC50,1,12000.0,nM,8.0,,91873
10229,P11166,IC50,1,12000.0,nM,8.0,,91873
10229,P62344,IC50,1,1000.0,nM,9.0,,84179
10229,Q25917,IC50,1,1000.0,nM,9.0,,84179
10229,Q8I5R7,IC50,1,2500.0,nM,8.0,,84179
10229,Q8IBS5,IC50,1,1000.0,nM,8.0,,84179
10229,Q8IDJ8,IC50,1,2500.0,nM,8.0,,84179
10230,Q9H1C0,IC50,3,38.0,nM,9.0,7.42,127303
10237,P31422,IC50,2,390.525,nM,9.0,6.41,93499
10237,P31424,EC50,2,30811.39,nM,9.0,,93499
10238,O00222,EC50,3,930.0,nM,8.0,,51887
10238,O15303,EC50,1,390.0,nM,8.0,,51887
10238,P35400,EC50,2,1500.0,nM,9.0,5.82,106864|112159
10238,P41594,EC50,1,350.0,nM,8.0,,51887
10238,P70579,EC50,2,915.0,nM,9.0,6.04,106864|112159
10238,Q13255,EC50,1,310.0,nM,8.0,,51887
