gtp_ligand_id,target_uniprot,gtp_interaction_count,gtp_action_set,gtp_type_set,gtp_selectivity_set,gtp_primary_target_set,gtp_affinity_units_set,gtp_affinity_median_set,gtp_pubmed_ids
1,P08908,1,Full agonist,Agonist,,False,pKi,9.3,9760039
10,P08908,1,Partial agonist,Agonist,,False,pKi,7.7,9303567
10,P28221,1,Partial agonist,Agonist,Not Determined,False,pKi,7.900000095367432,9303567
10,P28222,1,Partial agonist,Agonist,,False,pKi,6.1,9303567
10,P28223,1,Full agonist,Agonist,,False,pKi,6.6,9303567
10,P28335,1,Partial agonist,Agonist,,False,pKi,6.2,9303567
10,P28566,1,Partial agonist,Agonist,,False,pKi,5.2,9303567
10,P30939,1,Partial agonist,Agonist,,False,pKi,6.0,9303567
10,P41595,1,Partial agonist,Agonist,,False,pKi,7.4,9303567
10,P50406,1,Partial agonist,Agonist,,False,pKi,5.9,9303567
100,P08908,1,Antagonist,Antagonist,,False,pKi,7.1,9760039
100,P21728,1,Antagonist,Antagonist,,False,pKi,7.0,1826762
100,P21918,1,Antagonist,Antagonist,,False,pKi,5.6,1826762
100,P28223,1,Antagonist,Antagonist,Not Determined,True,pKi,,12629531|12176106
100,P28335,1,Antagonist,Antagonist,Not Determined,True,pKi,,12629531|10991983
100,P31388,1,Inverse agonist,Antagonist,,False,pKi,8.2,7908055
100,P32305,1,Inverse agonist,Antagonist,,False,pKi,7.2,7908055
100,P34969,1,Inverse agonist,Antagonist,,False,pKi,7.1,15821958
100,P35367,1,Antagonist,Antagonist,,False,pKi,7.7,12629531
100,P48542,1,Antagonist,Gating inhibitor,,False,pEC50,4.2,10780978
100,P50406,1,Inverse agonist,Antagonist,,False,pKi,7.2,15821958
1000,P25101,1,Antagonist,Antagonist,Not Determined,False,pIC50,,9694916
10000,O60674,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.300000190734863,
10000,P43405,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.0,
10001,O00329,1,Inhibition,Inhibitor,Selective,True,pIC50,8.770000457763672,28541707
10001,P42336,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.920000076293945,28541707
10001,P48736,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.769999980926514,28541707
10002,P34913,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.369999885559082,29878767
10002,P37231,1,Partial agonist,Agonist,Not Determined,False,pEC50,6.519999980926514,29878767
10002,Q9Y271,1,Antagonist,Antagonist,Not Determined,False,pA2,8.699999809265137,29878767
10003,P35498,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.349999904632568,29737846
10003,Q14524,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.960000038146973,29737846
10003,Q15858,2,Binding|Inhibition,Inhibitor,Not Determined,False,pIC50,8.0|8.520000457763672,29737846
10003,Q99250,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.149999618530273,29737846
10003,Q9UQD0,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.039999961853027,29737846
10004,P12931,1,Inhibition,Inhibitor,Not Determined,False,-,,29617135
10005,P04150,1,Agonist,Agonist,Not Determined,False,pKi,9.119999885559082,29741897
10009,P31424,1,Positive,Allosteric modulator,Not Determined,False,pKB,6.480000019073486,29514854
10009,Q13255,1,Positive,Allosteric modulator,Not Determined,False,pEC50,6.409999847412109,25137254
1001,P25101,1,Antagonist,Antagonist,Not Determined,False,pKd,,8012722
10010,P33402|Q02153,1,Activation,Activator,Not Determined,False,-,,28557445
10010,Q02108|Q02153,1,Activation,Activator,Selective,False,-,,28557445
10011,P25092,1,Agonist,Agonist,Not Determined,False,-,,26558155
10014,P16109,1,Binding,,Not Determined,False,pKd,6.489999771118164,9829984
10019,Q12809,1,Inhibition,Channel blocker,Not Determined,False,pIC50,7.400000095367432,19222165
1002,P25101,1,Antagonist,Antagonist,Not Determined,False,pKd,,9489609
10020,O35435,1,Inhibition,Inhibitor,Not Determined,False,pIC50,4.0,27641613
10020,Q02127,1,Inhibition,Inhibitor,Not Determined,False,pIC50,4.0,27641613
10020,Q08210,2,,,Not Determined,False,pEC50,7.369999885559082|7.849999904632568,27641613
10020,Q63707,1,Inhibition,Inhibitor,Not Determined,False,pIC50,4.0,27641613
10023,Q96PN6,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.0,27547922
10028,Q99685,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.039999961853027,23731016
10029,P21554,1,Antagonist,Antagonist,Selective,False,pKi,8.479999542236328,25535367
1003,P25101,1,Antagonist,Antagonist,Not Determined,False,pKd,8.5,7768260
10030,P21554,1,Antagonist,Antagonist,Not Determined,False,pKi,5.610000133514404,30033591
10030,P34972,1,Agonist,Agonist,Not Determined,False,pKi,6.690000057220459,30033591
10030,P37231,1,Agonist,Agonist,Not Determined,False,pIC50,5.460000038146973,30033591
10031,Q9GZN0,1,Agonist,Agonist,Selective,True,pEC50,7.599999904632568,30011199
10032,P40238,1,Agonist,Agonist,Selective,True,-,,29274361
10033,P07949,1,Inhibition,Inhibitor,Selective,True,pIC50,9.399999618530272,29657135
10033,P35968,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.460000038146973,29657135
10034,P55055,1,Partial agonist,Agonist,Not Determined,False,pEC50,6.28000020980835,28087808
10034,Q13133,1,Partial agonist,Agonist,Not Determined,False,pEC50,6.820000171661377,28087808
10035,P55055,1,Antagonist,Antagonist,Not Determined,False,pIC50,5.739999771118164,26288691
10036,O14980,1,Inhibition,Inhibitor,Not Determined,False,pEC50,7.920000076293945,39005064
10037,O14980,1,Inhibition,Inhibitor,Not Determined,False,-,,27211268|27780859|27323910
10038,Q8TD43,2,Antagonist,Channel blocker|Gating inhibitor,Not Determined,False,pIC50,5.739999771118164|5.820000171661377,29579323
10039,Q8TD43,2,,Channel blocker|Gating inhibitor,Not Determined,False,pIC50,6.400000095367432,29579323|34771564
1004,P21451,1,Full agonist,Agonist,,False,pKd,,8904635|1850245
1004,P24530,1,Full agonist,Agonist,,False,pKd,,7524189|8460684|8904635
10041,Q96D31,1,,Channel blocker,Selective,False,-,,26256403
10042,Q96D31,1,,Channel blocker,Selective,False,-,,26256403
10043,O14842,1,Agonist,Agonist,Not Determined,False,pEC50,2.9800000190734863,29454750
10043,Q9NQS5,1,Antagonist,Antagonist,Not Determined,False,pIC50,3.400000095367432,29454750
10044,P00533,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.109999656677246,27573423
10044,P52333,1,Inhibition,Inhibitor,Not Determined,False,pIC50,10.050000190734863,27573423
10044,Q06187,1,Inhibition,Inhibitor,Not Determined,False,pIC50,9.399999618530272,27573423
10045,P51449,2,Agonist,Agonist,Not Determined,False,pEC50,6.300000190734863,
10046,P30561,1,Agonist,Agonist,Not Determined,False,pKd,9.720000267028809,1658785
10047,P30561,1,Agonist,Agonist,Not Determined,False,pKd,4.570000171661377,1658785
10048,P21980,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.800000190734863,29689097
1005,P24530,1,Full agonist,Agonist,Not Determined,False,pKd,,7881728|8587429|1472961
10050,P22001,2,,Channel blocker,Not Determined,True,pKd,11.539999961853027|12.300000190734863,22540187
10051,P05164,1,Inhibition,Inhibitor,Not Determined,True,pIC50,6.800000190734863,30076263
10052,P05164,1,Inhibition,Inhibitor,Not Determined,True,pIC50,6.199999809265137,
10053,P05164,1,Inhibition,Inhibitor,Selective,True,pKi,6.5,26509551
10054,Q86VZ5,1,Inhibition,Inhibitor,Not Determined,False,pIC50,4.25,30074791
10054,Q8NHU3,1,Inhibition,Inhibitor,Selective,True,pIC50,7.0,30074791
10056,Q96P20,1,Inhibition,Inhibitor,Not Determined,False,-,,29378952
10057,Q96P20,1,Inhibition,Inhibitor,Not Determined,False,pKd,6.300000190734863,29021150
10058,P20272,1,Agonist,Agonist,Not Determined,False,pEC50,5.0,29259753
10058,P21554,1,Agonist,Agonist,Not Determined,False,pEC50,5.0,29259753
10058,P34972,1,Full agonist,Agonist,Selective,True,pEC50,8.210000038146973,29259753
10058,Q9QZN9,1,Full agonist,Agonist,Selective,False,pEC50,8.119999885559082,29259753
10059,P04150,1,Antagonist,Antagonist,Selective,True,pKi,8.100000381469727,23131342
10061,P35414,1,Agonist,Agonist,Selective,False,pEC50,9.489999771118164,32208384
10062,O35678,1,Irreversible inhibition,Inhibitor,Not Determined,False,pIC50,7.570000171661377,30067909
10062,Q13093,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.0,30067909
10062,Q99685,1,Irreversible inhibition,Inhibitor,Selective,True,pIC50,7.849999904632568,30067909
10062,Q9BV23,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.570000171661377,30067909
10063,P49336,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.0,30067358
10063,P50613,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.0,30067358
10063,P50750,1,Inhibition,Inhibitor,Not Determined,False,pIC50,4.800000190734863,30067358
10063,Q14004,1,Inhibition,Inhibitor,Selective,True,pIC50,8.0,30067358
10063,Q9NYV4,1,Inhibition,Inhibitor,Selective,True,pIC50,7.28000020980835,30067358
10064,P48067,1,Inhibition,Inhibitor,Selective,True,pKi,9.100000381469728,30080045
10065,P48067,1,Inhibition,Inhibitor,Selective,True,pKi,7.739999771118164,30080045
10066,O95267,1,Binding,Activator,Not Determined,False,pKi,9.600000381469728,24794745
10066,P17252,1,Binding,Activator,Not Determined,False,pKi,7.789999961853027,24794745
10066,Q02156,1,Binding,Activator,Not Determined,False,pKi,7.679999828338623,24794745
10067,P08637,1,Binding,Antibody,Selective,True,pKd,,24670809
10067,P28908,1,Binding,Antibody,Selective,False,pKd,8.029999732971191,24670809
10069,Q9NPC2,1,Inhibition,Inhibitor,Not Determined,False,pIC50,3.5199999809265137,39362502
1007,P21451,1,Full agonist,Agonist,Not Determined,False,pKd,,8301559
1007,P24530,1,Full agonist,Agonist,Not Determined,False,pKd,,8301559
10070,P24530,2,Antagonist,Antagonist,Not Determined,False,pA2|pIC50,5.5|6.010000228881836,18780830
10070,P25101,2,Antagonist,Antagonist,Not Determined,False,pA2|pIC50,6.699999809265137|8.470000267028809,18780830
10071,Q14145,2,Binding,,Not Determined,False,pIC50|pKd,6.989999771118164|7.21999979019165,30122040
10072,O60885,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.550000190734863,30125504
10072,P53350,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.400000095367432,30125504
10073,O60885,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.590000152587891,30125504
10073,P53350,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.0,30125504
10074,P22303,1,,,Not Determined,False,pIC50,5.639999866485596,30125110
10076,Q06187,1,Inhibition,Inhibitor,Selective,True,pIC50,9.149999618530272,30122225
10078,P51449,2,Inverse agonist,Agonist,Not Determined,False,pIC50,7.78000020980835|8.390000343322754,30130103
10079,P09917,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.050000190734863,30199704
1008,P21451,1,Full agonist,Agonist,,False,pKd,,8904635|1850245
1008,P24530,1,Full agonist,Agonist,Selective,False,pKd,,8904635|8587419
10080,P34913,1,Inhibition,Inhibitor,Selective,True,pIC50,7.699999809265137,28839250
10081,O43781,1,Inhibition,Inhibitor,Non-selective,False,pIC50,6.420000076293945,30199702
10081,P06493,1,Inhibition,Inhibitor,Non-selective,False,pIC50,7.150000095367432,30199702
10081,P24941,1,Inhibition,Inhibitor,Non-selective,False,pIC50,7.170000076293945,30199702
10081,P50750,1,Inhibition,Inhibitor,Non-selective,False,pIC50,7.309999942779541,30199702
10081,Q00535,1,Inhibition,Inhibitor,Non-selective,False,pIC50,7.300000190734863,30199702
10081,Q9HAZ1,1,Inhibition,Inhibitor,Non-selective,False,pIC50,7.050000190734863,30199702
10082,Q8TDV5,1,Agonist,Agonist,Selective,False,pEC50,7.289999961853027,30217957
10083,Q9UGL1,1,Inhibition,Inhibitor,Family selective,True,pIC50,6.519999980926514,30431220
10084,Q8IL83,1,,,Not Determined,False,pIC50,7.28000020980835,28262680
10087,Q96D31,1,,Channel blocker,Selective,False,pIC50,6.920000076293945,33939666
10087,Q96SN7,1,Inhibition,Channel blocker,Not Determined,False,pIC50,6.050000190734863,
10088,Q96D31,1,,Channel blocker,Not Determined,False,pIC50,6.400000095367432,
10088,Q96SN7,1,Inhibition,Channel blocker,Not Determined,False,pIC50,5.840000152587891,
10089,O43353,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.849999904632568,25801024
10089,Q13546,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.050000190734863,25801024
1009,P24530,1,Antagonist,Antagonist,Selective,False,pKd,8.100000381469727,10479298
10090,Q15116,2,Binding,Antibody,Selective,True,pKd,8.210000038146973|9.199999809265137,28265006
10091,O00206,1,Partial agonist,Agonist,Not Determined,False,-,,14570885
10092,Q08828,1,Inhibition,Inhibitor,Selective,True,pIC50,5.639999866485596,28223412
10094,Q06187,1,Inhibition,Inhibitor,Selective,True,pIC50,9.40999984741211,30216722
10095,P06493,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.329999923706055,30234987
10095,P24941,2,Inhibition,Inhibitor,Not Determined,False,pIC50,6.599999904632568|6.730000019073486,30234987
10095,Q00535,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.610000133514404,30234987
10096,O00329,1,Inhibition,Inhibitor,Selective,True,pIC50,7.900000095367432,24133210
10096,P42336,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.260000228881836,24133210
10096,P42338,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.46999979019165,24133210
10096,P48736,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.860000133514404,24133210
10097,P42336,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.699999809265137,27096040
10097,P42345,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.150000095367432,27096040
10098,O00329,1,Inhibition,Inhibitor,Not Determined,False,pIC50,,
10099,P00742,1,Inhibition,Inhibitor,Selective,True,pKi,9.300000190734863,30298304
101,P08908,1,Antagonist,Antagonist,,False,pKi,8.3,9760039
101,P28335,1,Inverse agonist,Antagonist,,False,pKi,8.3,10991983
101,P31388,1,Antagonist,Antagonist,,False,pKi,7.1,7908055
101,P32305,1,Antagonist,Antagonist,,False,pKi,9.2,7908055
101,P50406,1,Antagonist,Antagonist,,False,pKi,6.0,8522988
1010,P21451,1,Antagonist,Antagonist,,False,pKd,7.5,8904635
1010,P24530,1,Antagonist,Antagonist,Selective,False,pKd,,8904635
10100,P13945,1,Agonist,Agonist,Selective,True,pEC50,,26709102|27965369|35693456
10100,P26255,1,Agonist,Agonist,Not Determined,False,pEC50,7.070000171661377,26709102
10102,P35367,1,Antagonist,Antagonist,Selective,True,pKi,8.569999694824219,19553115
10103,P25105,1,Antagonist,Antagonist,Not Determined,False,pKi,5.429999828338623,16220969
10103,P35367,1,Antagonist,Antagonist,Selective,True,pIC50,8.40999984741211,16220969
10104,P08172,1,Antagonist,Antagonist,Not Determined,False,pKi,7.519999980926514,12593665
10104,P08173,1,Antagonist,Antagonist,Not Determined,False,pKi,6.53000020980835,12593665
10104,P08912,1,Antagonist,Antagonist,Not Determined,False,pKi,6.119999885559082,12593665
10104,P11229,1,Antagonist,Antagonist,Not Determined,False,pKi,6.71999979019165,12593665
10104,P20309,1,Antagonist,Antagonist,Not Determined,False,pKi,6.860000133514404,12593665
10104,P35367,1,Antagonist,Antagonist,Not Determined,False,pKi,7.159999847412109,12593665
10105,O94804,1,Inhibition,Inhibitor,Not Determined,False,pKd,8.0,30075624
10105,P00519,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.309999942779541,30075624
10105,P04629,1,Inhibition,Inhibitor,Not Determined,False,pKd,7.0,30075624
10105,P06239,1,Inhibition,Inhibitor,Not Determined,False,pKd,6.739999771118164,30075624
10105,P29317,1,Inhibition,Inhibitor,Not Determined,False,pKd,6.590000152587891,30075624
10105,P29322,1,Inhibition,Inhibitor,Not Determined,False,pKd,7.099999904632568,30075624
10105,P29323,1,Inhibition,Inhibitor,Not Determined,False,pKd,6.590000152587891,30075624
10105,Q02763,1,Inhibition,Inhibitor,Not Determined,False,pKd,6.429999828338623,30075624
10105,Q08345,2,Inhibition,Inhibitor,Not Determined,True,pIC50|pKd,8.029999732971191|8.100000381469727,30075624
10105,Q15375,1,Inhibition,Inhibitor,Not Determined,False,pKd,6.699999809265137,30075624
10105,Q16288,1,Inhibition,Inhibitor,Not Determined,False,pKd,8.029999732971191,30075624
10105,Q16620,1,Inhibition,Inhibitor,Not Determined,False,pKd,7.960000038146973,30075624
10105,Q16832,2,Inhibition,Inhibitor,Not Determined,False|True,pIC50|pKd,7.690000057220459|8.100000381469727,30075624
10106,P51681,1,Antagonist,Antagonist,Not Determined,False,pIC50,8.520000457763672,30234300
10107,O15552,3,Agonist,Agonist,Not Determined|Selective,True,pEC50|pKi,6.099999904632568|6.690000057220459|7.110000133514404,30247908
10107,Q8VCK6,1,Agonist,Agonist,Not Determined,False,pEC50,6.440000057220459,30247908
10108,O14965,1,Inhibition,Inhibitor,Not Determined,False,pIC50,4.300000190734863,30249354
10108,O60674,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.0,30249354
10108,P06239,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.400000095367432,30249354
10108,P35968,1,Inhibition,Inhibitor,Not Determined,False,pIC50,4.5,30249354
10108,P43405,1,Inhibition,Inhibitor,Not Determined,True,pIC50,7.099999904632568,30249354
10108,P49841,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.300000190734863,30249354
10108,Q5S007,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.400000095367432,30249354
10108,Q96GD4,1,Inhibition,Inhibitor,Not Determined,False,pIC50,4.599999904632568,30249354
10109,P23468,1,Inhibition,Inhibitor,Not Determined,True,pIC50,,30348770
10109,Q13332,1,Inhibition,Inhibitor,Not Determined,False,pIC50,4.400000095367432,9276730
1011,P24530,1,Antagonist,Antagonist,Selective,False,pIC50,7.199999809265137,8612786
10110,P43116,1,Agonist,Agonist,Not Determined,False,pKi,8.300000190734863,30341781
10111,E2JF22,1,Activation,Activator,Selective,True,pEC50,3.799999952316284,29610524
10112,Q92508,2,Inhibition,Inhibitor,Not Determined,False,pIC50,5.820000171661377|5.889999866485596,29498036
10113,P30874,1,Antagonist,Antagonist,Selective,False,-,,18543899
10114,P32745,1,Antagonist,Antagonist,Selective,False,pIC50,9.18000030517578,24900499
10115,P31391,1,Agonist,Agonist,Selective,False,pKi,8.920000076293945,15333679
10116,P35346,1,Antagonist,Antagonist,Selective,False,pKi,9.270000457763672,28938487
10117,Q15116,1,Binding,Inhibitor,Not Determined,False,pEC50,9.140000343322754,
10118,P14625,1,Inhibition,Inhibitor,Selective,True,pIC50,8.699999809265137,30351001
10119,P35499,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.980000019073486,30346167
10119,Q14524,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.179999828338623,30346167
10119,Q15858,1,Inhibition,Inhibitor,Selective,True,pIC50,9.100000381469728,30346167
10119,Q62205,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.270000457763672,30346167
10119,Q9UQD0,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.21999979019165,30346167
10119,Q9Y5Y9,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.0,30346167
1012,Q99527,1,Full agonist,Agonist,Not Determined,False,pKd,,15539556
10120,Q02083,1,Inhibition,Inhibitor,Selective,True,pIC50,6.639999866485596,27404798
10121,Q02083,1,Inhibition,Inhibitor,Selective,False,pIC50,8.050000190734863,29572189|28802121
10122,Q86WV6,1,Inhibition,Antagonist,Not Determined,False,-,,29973723
10123,Q8N6T7,2,Activation|Binding,Allosteric modulator,Not Determined,False,pEC50|pKd,4.989999771118164|5.269999980926514,30374165
10124,O00519,2,Inhibition,Inhibitor,Not Determined,True,pIC50|pKi,7.429999828338623|8.100000381469727,30411058
10124,O08914,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.849999904632568,30411058
10124,P34913,1,Inhibition,Inhibitor,Not Determined,True,pIC50,8.300000190734863,
10124,P34914,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.570000171661377,30411058
10124,P80299,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.739999771118164,30411058
10124,P97612,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.519999980926514,30411058
10125,Q16875,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.849999904632568,30378281
10126,P14902,2,Inhibition,Inhibitor,Not Determined,False,pIC50|pKi,6.989999771118164|7.269999980926514,27475108
10126,Q6ZQW0,3,Inhibition,Inhibitor,Not Determined,False,pIC50|pKi,5.739999771118164|6.010000228881836|6.349999904632568,27475108
10127,Q86WV6,1,Agonist,Agonist,Selective,True,pKd,8.800000190734863,30405246
10128,Q86WV6,1,Agonist,Agonist,Selective,True,-,,30405246
10129,P08172,1,Antagonist,Antagonist,Not Determined,False,pKi,9.520000457763672,29736245
10129,P08173,1,Antagonist,Antagonist,Not Determined,False,pKi,9.260000228881836,29736245
10129,P08912,1,Antagonist,Antagonist,Not Determined,False,pKi,8.199999809265137,29736245
10129,P11229,1,Antagonist,Antagonist,Not Determined,False,pKi,9.380000114440918,29736245
10129,P20309,1,Antagonist,Antagonist,Not Determined,False,pKi,9.75,29736245
1013,O75469,1,Agonist,Agonist,Selective,False,-,,10628745
1013,P03372,1,Agonist,Agonist,Not Determined,True,pKi,9.81999969482422,9048584
1013,Q12791,1,,Activator,,False,pEC50,5.6,10489376
1013,Q7Z2H8,1,Inhibition,Inhibitor,Not Determined,False,pIC50,,32835702
1013,Q92731,1,Agonist,Agonist,Not Determined,False,pKi,9.34,9048584
1013,Q99527,1,Full agonist,Agonist,Not Determined,False,pKi,,15705806|15539556
10130,P35270,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.960000038146973,
10131,P30530,1,Inhibition,Inhibitor,Not Determined,False,pKi,7.400000095367432,30347155
10131,P36888,1,Inhibition,Inhibitor,Not Determined,False,pKi,7.789999961853027,30347155
10131,Q06418,1,Inhibition,Inhibitor,Not Determined,False,pKi,8.40999984741211,30347155
10131,Q12866,1,Inhibition,Inhibitor,Not Determined,False,pKi,9.369999885559082,30347155
10132,Q13546,1,Inhibition,Inhibitor,Selective,True,pIC50,9.100000381469728,27551444
10133,Q13546,1,Inhibition,Inhibitor,Not Determined,True,pIC50,7.889999866485596,24900635
10134,O14920,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.100000381469727,30613320
10135,Q14833,1,Positive,Allosteric modulator,Selective,True,pEC50,7.190000057220459,30891122
10136,P00533,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.699999809265137,
10136,P35968,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.0,
10136,P43405,1,Inhibition,Inhibitor,Not Determined,False,pIC50,,
10136,P52333,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.699999809265137,
10137,Q8TDV5,1,Agonist,Agonist,Not Determined,False,pEC50,8.550000190734863,29495245
10138,P25090,1,Agonist,Agonist,Not Determined,False,-,,30419493
10139,P40763,1,Binding,Inhibitor,Not Determined,False,pKd,6.960000038146973,30472602
1014,Q99527,1,Full agonist,Agonist,Selective,False,pKi,8.0,16520733
10140,Q15116,1,Binding,Antibody,Selective,True,pKd,9.699999809265137,
10141,O15550,1,Inhibition,Inhibitor,Not Determined,False,pIC50,4.21999979019165,30392349
10141,O75164,1,Inhibition,Inhibitor,Not Determined,False,pIC50,5.28000020980835,30392349
10141,P29375,1,Irreversible inhibition,Inhibitor,Selective,True,pIC50,6.489999771118164,30392349
10141,Q9UGL1,1,Irreversible inhibition,Inhibitor,Selective,True,pIC50,6.659999847412109,30392349
10142,P42336,2,Inhibition,Inhibitor,Not Determined,False,pKd|pKi,5.380000114440918|6.0,30359003
10142,P42345,2,Inhibition,Inhibitor,Not Determined|Selective,False|True,pKd|pKi,7.96999979019165|9.56999969482422,30359003
10142,Q8NEB9,1,Inhibition,Inhibitor,Not Determined,False,pKd,5.559999942779541,30359003
10143,P35398,1,Inverse agonist,Agonist,Selective,True,pKi,6.760000228881836,21499262
10143,P51449,1,Inverse agonist,Agonist,Selective,True,pKi,6.949999809265137,21499262
10144,P51449,1,Inverse agonist,Agonist,Selective,True,pKi,6.980000019073486,22292739
10145,P51449,1,Inverse agonist,Agonist,Selective,True,pIC50,6.0,22769242
10146,P61073,1,Antagonist,Antagonist,Not Determined,False,pIC50,6.300000190734863,30476826
10147,O60674,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.53000020980835,30460842
10147,P23458,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.470000267028809,30460842
10147,P29597,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.130000114440918,30460842
10147,P52333,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.940000057220459,30460842
10148,O60674,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.449999809265137,30460842
10148,P23458,1,Inhibition,Inhibitor,Not Determined,False,pIC50,6.900000095367432,30460842
10148,P29597,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.400000095367432,30460842
10148,P52333,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.779999732971191,30460842
10149,O43570,1,Inhibition,Inhibitor,Not Determined,True,pKi,8.350000381469727,26233435
10149,P00915,1,Inhibition,Inhibitor,Not Determined,False,pKi,5.289999961853027,26233435
10149,Q16790,1,Inhibition,Inhibitor,Selective,True,pKi,7.349999904632568,26233435
1015,P03372,1,Antagonist,Antagonist,Not Determined,True,pKi,8.979999542236328,12672240
1015,Q92731,1,Antagonist,Antagonist,Not Determined,True,pKi,8.859999656677246,12672240
1015,Q99527,1,Full agonist,Agonist,Not Determined,False,pKi,7.0,15539556
10150,P24752,1,Inhibition,Inhibitor,Selective,True,pIC50,6.349999904632568,16820149
10150,Q9BWD1,1,Inhibition,Inhibitor,Not Determined,False,pIC50,3.890000104904175,16820149
10151,O00329,1,Inhibition,Inhibitor,Not Determined,False,pKd,8.3100004196167,30380865
10151,P06239,1,Inhibition,Inhibitor,Not Determined,False,pKd,5.340000152587891,30380865
10151,P42336,1,Inhibition,Inhibitor,Not Determined,False,pKd,9.0600004196167,30380865
10151,P42338,1,Inhibition,Inhibitor,Not Determined,False,pKd,8.239999771118164,30380865
10151,P42345,1,Inhibition,Inhibitor,Not Determined,False,pKd,8.0,30380865
10151,P48736,1,Inhibition,Inhibitor,Not Determined,False,pKd,8.460000038146973,30380865
10152,Q9NWZ3,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.5,33335659
10153,Q8I5R7,1,,,Not Determined,False,pEC50,9.06999969482422,25995223
10154,Q16236,1,Binding,Inhibitor,Not Determined,False,-,,27552339
10155,P04629,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.590000152587891,30480444
10155,P30530,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.460000038146973,30480444
10155,P35916,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.699999809265137,30480444
10155,Q08345,1,Inhibition,Inhibitor,Not Determined,False,pIC50,7.460000038146973,30480444
10155,Q12866,2,Inhibition,Inhibitor,Not Determined,False,pIC50,7.539999961853027,30480444
10155,Q13546,2,Inhibition,Inhibitor,Not Determined,False,pIC50|pKd,7.960000038146973|8.359999656677246,30480444
10155,Q16288,1,Inhibition,Inhibitor,Not Determined,False,pIC50,8.149999618530273,30480444
