Type,gtp_family_id,gtp_family_name,gtp_target_id,gtp_target_name,hgnc_symbol,target_uniprot
gpcr,1,5-Hydroxytryptamine receptors,1,5-HT<sub>1A</sub> receptor,HTR1A,P08908
gpcr,1,5-Hydroxytryptamine receptors,2,5-HT<sub>1B</sub> receptor,HTR1B,P28222
gpcr,1,5-Hydroxytryptamine receptors,3,5-HT<sub>1D</sub> receptor,HTR1D,P28221
gpcr,1,5-Hydroxytryptamine receptors,4,5-ht<sub>1e</sub> receptor,HTR1E,P28566
gpcr,1,5-Hydroxytryptamine receptors,5,5-HT<sub>1F</sub> receptor,HTR1F,P30939
gpcr,1,5-Hydroxytryptamine receptors,6,5-HT<sub>2A</sub> receptor,HTR2A,P28223
gpcr,1,5-Hydroxytryptamine receptors,7,5-HT<sub>2B</sub> receptor,HTR2B,P41595
gpcr,1,5-Hydroxytryptamine receptors,8,5-HT<sub>2C</sub> receptor,HTR2C,P28335
gpcr,1,5-Hydroxytryptamine receptors,9,5-HT<sub>4</sub> receptor,HTR4,Q13639
gpcr,1,5-Hydroxytryptamine receptors,10,5-HT<sub>5A</sub> receptor,HTR5A,P47898
gpcr,1,5-Hydroxytryptamine receptors,11,5-HT<sub>6</sub> receptor,HTR6,P50406
gpcr,1,5-Hydroxytryptamine receptors,12,5-HT<sub>7</sub> receptor,HTR7,P34969
gpcr,2,Acetylcholine receptors (muscarinic),13,M<sub>1</sub> receptor,CHRM1,P11229
gpcr,2,Acetylcholine receptors (muscarinic),14,M<sub>2</sub> receptor,CHRM2,P08172
gpcr,2,Acetylcholine receptors (muscarinic),15,M<sub>3</sub> receptor,CHRM3,P20309
gpcr,2,Acetylcholine receptors (muscarinic),16,M<sub>4</sub> receptor,CHRM4,P08173
gpcr,2,Acetylcholine receptors (muscarinic),17,M<sub>5</sub> receptor,CHRM5,P08912
gpcr,3,Adenosine receptors,18,A<sub>1</sub> receptor,ADORA1,P30542
gpcr,3,Adenosine receptors,19,A<sub>2A</sub> receptor,ADORA2A,P29274
gpcr,3,Adenosine receptors,20,A<sub>2B</sub> receptor,ADORA2B,P29275
gpcr,3,Adenosine receptors,21,A<sub>3</sub> receptor,ADORA3,P0DMS8
gpcr,17,Adhesion Class GPCRs,197,ADGRA1,ADGRA1,Q86SQ6
gpcr,17,Adhesion Class GPCRs,198,ADGRA2,ADGRA2,Q96PE1
gpcr,17,Adhesion Class GPCRs,199,ADGRA3,ADGRA3,Q8IWK6
gpcr,17,Adhesion Class GPCRs,174,ADGRB1,ADGRB1,O14514
